Date,Record Number,Record Type,Address,Description,Project Name,Status,Short Notes
8/13/2020,CE20-0634,Enforcement Case,"120 STANFORD ST, SANTA ROSA CA 95404","Tall weeds, rear yard.",ZRM- Residential Miscellaneous,Closed,
8/12/2020,CE20-0633,Enforcement Case,"2036 MONTECITO AVE, SANTA ROSA CA 95404",Overgrown vegetation.,ZRM - Residential Miscellaneous,Closed,
8/12/2020,CE20-0632,Enforcement Case,"2060 WOODSIDE DR, SANTA ROSA CA 95404",Inhabitable structure built on NE corner of property with no permit.,BRNP - Building Residential - No Permit,Closed,
8/11/2020,CE20-0631,Enforcement Case,"3896 SAGE HILL PL, SANTA ROSA CA 95404",TREE REMOVAL WITHOUT PERMITS.,TREE - TREE VIOLATION,Closed,
8/11/2020,CE20-0630,Enforcement Case,"5406 DIANE WAY, SANTA ROSA CA 95409","Overgrown weeds, dead trees, possible black mold (on porch).UPDATE 10/12/2020: Overgrown dry vegetation.UPADTE 10/20/2020 - Received another investigation form.UPDATE 10/27/2020 - Received another investigation form",ZRM - Residential Miscellaneous,Closed,
8/11/2020,CE20-0629,Enforcement Case,"1623 SENDERO LN, SANTA ROSA CA 95407",ELECTRICAL ISSUES.REOPEN 9/29/2020.,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
8/11/2020,CE20-0628,Enforcement Case,"1851 PETERSON LN, SANTA ROSA CA 95403",Windmill in front yard; tarp and bricks on roof; roof less than 5ft from property line.,HRS - Substandard Residential,Closed,
8/11/2020,CE20-0627,Enforcement Case,"1050 3RD ST, W806, SANTA ROSA CA 95404",LL reportedly refuses to clean dirty vent or fix thermostat.,HRS - Substandard Residential,Closed,
8/10/2020,CE20-0626,Enforcement Case,"4916 HWY 12, SANTA ROSA CA 95409",Rooster,ZRA - Residential Animal Violation,Closed,
8/10/2020,CE20-0625,Enforcement Case,"2838 APACHE ST, SANTA ROSA CA 95403",Large amount of garbage in front yard.,ZRTD - Residential Trash & Debris,Admin Citation,
8/10/2020,CE20-0624,Enforcement Case,"0 BARNES RD, SANTA ROSA CA 95403",Overgrown weeds between fences.,ZRM - Residential Miscellaneous,Investigate,
8/10/2020,CE20-0623,Enforcement Case,"532 GREENWOOD DR, SANTA ROSA CA 95407",Resident reportedly does not have garbage service. Garbage is piling up and is generating a bad smell and attracting cockroaches.,ZRTD - Residential Trash & Debris / HRS - Substandard Residential,In Progress,
8/10/2020,CE20-0622,Enforcement Case,"2334 DONAHUE AVE, SANTA ROSA CA 95401",Residents reportedly have extended their house or made a standing structure within the fence setback area. Indoor Cannabis grow in interior of house and addition to back of house,HRIL - ILLEGAL RESIDENTIAL UNIT,In Progress,
8/6/2020,CE20-0621,Enforcement Case,"4701 STONEHEDGE DR, SANTA ROSA CA 95405",Weed overgrowth,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
8/6/2020,CE20-0620,Enforcement Case,"2061 SEVILLE ST, SANTA ROSA CA 95403",High and dry weeds.,ZRM - RESIDENTIAL MISCELLANEOUS,In Progress,
8/6/2020,CE20-0619,Enforcement Case,"3233 HOEN AVE, SANTA ROSA CA 95405",Rooster in yard,ZRA - RESIDENTIAL ANIMAL VIOLATION,Closed,
8/6/2020,CE20-0618,Enforcement Case,"1350 STARVIEW DR, SANTA ROSA CA 95403",Weekly weekend garage sales with outside merchandise.  Cones in street blocking traffic.,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
8/6/2020,CE20-0617,Enforcement Case,"170 FARMERS LN, SANTA ROSA CA 95405",Overgrowth of dried weeds & brush.,ZRM - RESIDENTIAL MISCELLANEOUS,In Progress,
8/6/2020,CE20-0616,Enforcement Case,"619 CORLANO AVE, SANTA ROSA CA 95404",Damaged vehicle in front yard,ZRM - RESIDENTIAL MISCELLANEOUS,In Progress,
8/5/2020,CE20-0615,Enforcement Case,"1915 GARDENVIEW CIR, SANTA ROSA CA 95403","VACANT LOT, CONTRACTOR USING RESIDENTIAL LOT AS CONTRACTORS YARD",ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
8/5/2020,CE20-0614,Enforcement Case,"1992 ALAMO LN, SANTA ROSA CA 95407","Garbage and debris piled up to the top of the fence at both units.  1992 has two vehicles in front that ""have not run in years.""",ZRTD - Residential Trash & Debris - ZRVS - Residential Vehicular,In Progress,
8/5/2020,CE20-0613,Enforcement Case,"2223 GOLDLEAF LN, SANTA ROSA CA 95403",Possible toxic mold; substandard/dangerous stairway.,HRS - SUBSTANDARD RESIDENTIAL,Closed,
8/5/2020,CE20-0612,Enforcement Case,"2138 PETERSON LN, SANTA ROSA CA 95403",Trash piling up for almost two months next to sidewalk along San Miguel in the grass and shrubs.,ZRTD - RESIDENTIAL TRASH AND DEBRIS,Closed,
8/5/2020,CE20-0611,Enforcement Case,"222 BOYCE ST, SANTA ROSA CA 95401",Resident leaves garbage bins on street every day despite being asked to put them away.,ZRTD - RESIDENTIAL TRASH & DEBRIS,Closed,
8/5/2020,CE20-0610,Enforcement Case,"477 GREENWOOD DR, SANTA ROSA CA 95407",Rooster kept here,ZRA - RESIDENTIAL ANIMAL VIOLATION,In Progress,
8/5/2020,CE20-0609,Enforcement Case,"1099 SEBASTOPOL RD, SANTA ROSA CA 95407",Roosters and too many chickens.,ZCA - COMMERCIAL ANIMAL VIOLATION,Closed,
8/4/2020,CE20-0608,Enforcement Case,"933 LODI ST, SANTA ROSA CA 95401",TENANT WORKS OUT OF THEIR GARAGE,ZRHO - HOME OCCUPATION,Closed,
8/4/2020,CE20-0607,Enforcement Case,"2080 STONEFIELD LN, SANTA ROSA CA 95403",Occupant(s) operating an auto body shop out of garage creating toxic fumes and loud machine noises daily.,ZRHO - HOME OCCUPATION,Investigate,
8/4/2020,CE20-0606,Enforcement Case,"1620 HERBERT ST, 10, SANTA ROSA CA 95401","Tenant advised his Housing Tech, Marge Lopez, that his heater and refrigerator have not worked since February.  Marge submitted complaint on his behalf.UPDATE 11/9/2020 - Reopen heater not working properly.",HRS - SUBSTANDARD RESIDENTIAL,Closed,
8/3/2020,CE20-0605,Enforcement Case,"665 SEBASTOPOL RD, SANTA ROSA CA 95407",UNAPPROVED MOBILE VENDORS (MULTIPLE) ON WEEKENDS AND NO SOCIAL DISTANCING,ZCM - COMMERCIAL MISCELLANEOUS,Closed,
7/31/2020,CE20-0604,Enforcement Case,"417 TRAIL RIDGE PL, SANTA ROSA CA 95409",TRUCK HIT HOUSE,ECO - EMERGENCY CALL OUT,Closed,
7/31/2020,CE20-0603,Enforcement Case,"1706 W COLLEGE AVE, B, SANTA ROSA CA 95401",CROSS PARCEL WATER CONNECTION WITH 1708 W COLLEGE,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/30/2020,CE20-0602,Enforcement Case,"2245 SANTA ROSA AVE, SANTA ROSA CA 95407","Homeless encampment, trash and debris around old Carl's Jr. Restaurant",ZCRM - Commercial Trash and Debris,In Progress,
7/30/2020,CE20-0601,Enforcement Case,"3076 MARLOW RD, SANTA ROSA CA 95403",Failure to maintain garbage service.  Is attracting rodents.,ZRTD - RESIDENTIAL TRASH AND DEBRIS,Closed,
7/30/2020,CE20-0600,Enforcement Case,"1935 GOLDPAN WAY, SANTA ROSA CA 95407",Resident doesn't seem to have their own garbage service and is putting waste into neighbors' bins.,ZRM - RESIDENTIAL MISCELLANEOUS,In Progress,
7/30/2020,CE20-0599,Enforcement Case,"801 TUPPER ST, 304, SANTA ROSA CA 95404",Cigarette smoking within unit causing continual second hand smoke.,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/30/2020,CE20-0598,Enforcement Case,"2210 VERBENA DR, SANTA ROSA CA 95404",NEW STAIRS LEADING TO FRONT DOOR DO NOT HAVE RAILINGS.,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/29/2020,CE20-0597,Enforcement Case,"750 SLATER ST, SANTA ROSA CA 95404",WEEDS AND OVERGROWN VEGETATION IN FRONT AND BACK YARDS.,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/29/2020,CE20-0596,Enforcement Case,"824 W 8TH ST, SANTA ROSA CA 95401",ROOSTER.,ZRA - RESIDENTIAL ANIMAL VIOLATION,Closed,
7/29/2020,CE20-0595,Enforcement Case,"0 QUAIL CT, SANTA ROSA CA 95404",CUTTING DOWN A DOUGLAS FIR TREE,TREE - TREE VIOLATION,In Progress,
7/28/2020,CE20-0594,Enforcement Case,"2833 PAPAGO CT, SANTA ROSA CA 95403","Accumulation of needles, mattresses and human waste due to not securing the property.",ZRTD - RESIDENTIAL TRASH & DEBRIS,Investigate,
7/28/2020,CE20-0593,Enforcement Case,"2839 PAPAGO CT, SANTA ROSA CA 95403","Accumulation of needles, mattresses and human waste due to not securing the property.",ZRTD - RESIDENTIAL TRASH & DEBRIS,In Progress,
7/28/2020,CE20-0592,Enforcement Case,"3625 HOEN AVE, SANTA ROSA CA 95405",WINDOW REPLACEMENTS WITHOUT PERMIT AND RV IN REAR YARD.,BRNP - BUILDING RESIDENTIAL - NO PERMIT,Closed,
7/28/2020,CE20-0591,Enforcement Case,"2300 BETHARDS DR, SANTA ROSA CA 95405",ONLY 2 SINGLE WOMENS BATHROOMS FOR ALL THE WOMEN WITHIN THE BUILDING.,ZCM - COMMERCIAL MISCELLANEOUS,Closed,
7/28/2020,CE20-0590,Enforcement Case,"1550 WEST AVE, SANTA ROSA CA 95407",Rooster in large fenced-in yard and wakes up neighbors.,ZRA - RESIDENTIAL ANIMAL VIOLATION,Closed,
7/28/2020,CE20-0589,Enforcement Case,"2827 PAPAGO CT, SANTA ROSA CA 95403","Accumulation of needles, mattresses and human waste due to not securing the property.",ZRTD - Residential Trash and Debris,In Progress,
7/28/2020,CE20-0588,Enforcement Case,"100 SANTA ROSA AVE, SANTA ROSA CA 95404",,Covid-C - Test,Void,
7/28/2020,CE20-0587,Enforcement Case,"100 SANTA ROSA AVE, SANTA ROSA CA 95404",,BCNP - Test (delete),Void,
7/28/2020,CE20-0586,Enforcement Case,"2787 CUMBERLAND ST, SANTA ROSA CA 95407",Leaving trash cans on the street more than 24 hours before and after trash pick up.,ZRM - Residential Miscellaneous,In Progress,
7/28/2020,CE20-0585,Enforcement Case,"5412 SANTA TERESA AVE, SANTA ROSA CA 95409",Multiple vehicles stored in front yard.  Previous reports indicate a junk yard.,ZRM - RESIDENTIAL MISCELLANEOUS,In Progress,
7/28/2020,CE20-0584,Enforcement Case,"3895 PRINCETON DR, SANTA ROSA CA 95405",LOUD AMPLIFED MUSIC AND AMPLIFIED VOICES FROM LOCAL GYM STARTING AT 6:00 AM.,ZCM - COMMERCIAL MISCELLANEOUS,Closed,
7/28/2020,CE20-0583,Enforcement Case,"2728 NAVAJO ST, SANTA ROSA CA 95403",GROWING 12 PLUS CANNABIS PLANTS IN THEIR BACKYARD.,CRR - CANNABIS RELATED RESPONSE,In Progress,
7/28/2020,CE20-0582,Enforcement Case,"2061 MARLOW RD, SANTA ROSA CA 95403","Fire in rear of property, vehicle and boat storage, trash and debris, electrical hazards, cannabis grow in rear and side of property.",ECO - Emergancy Call Out,In Progress,
7/28/2020,CE20-0581,Enforcement Case,"2576 W OAK CIR, A, SANTA ROSA CA 95401",SMOKING CANNABIS IN THEIR CONDO.,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/28/2020,CE20-0580,Enforcement Case,"3033 CLEVELAND AVE, SANTA ROSA CA 95403",SEVERAL DEAD SHRUBS,ZCM - COMMERCIAL MISCELLANEOUS,Closed,
7/28/2020,CE20-0579,Enforcement Case,"3055 CLEVELAND AVE, SANTA ROSA CA 95403",DEAD TREE ON WEST SIDE OF PROPERTY BORDER TO EAST SIDE OF DEL NIDO PROPERTY.,ZCM - COMMERCIAL MISCELLANEOUS,Closed,
7/27/2020,CE20-0578,Enforcement Case,"3615 ORBETELLO CT, SANTA ROSA CA 95404",OVERGROWN WEEDS/VEGETATION AND STORAGE OF TRAILER.,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/27/2020,CE20-0577,Enforcement Case,"4934 SUNSHINE AVE, SANTA ROSA CA 95409","LOTS OT TENANTS COMING & GOING; LOUD MUSIC; POSSBLE UNPERMITTED ADDITION, EXPIRED BUILDING PERMIT FROM CE16-0016.",BRNP - BUILDING RESIDENTIAL - NO PERMIT; ZRM - RESIDENTIAL MISCELLANEOUS,Investigate,
7/27/2020,CE20-0576,Enforcement Case,"1117 14TH ST, SANTA ROSA CA 95404",40 PLUS PEOPLE GATHERING 7 DAYS/WEEK FOR MEETINGS.,COVID - RESIDENTIAL,Closed,
7/23/2020,CE20-0575,Enforcement Case,"2602 ROME LN, SANTA ROSA CA 95407","SIDEWALK LIFTED AROUND 3 INCHES, HAZARDOUS",ZRM - RESIDENTIAL MISCELLANEOUS,In Progress,
7/23/2020,CE20-0574,Enforcement Case,"4827 PEREZOSO CALLE, SANTA ROSA CA 95409",OVERGROWN BUSHES AND TREES WITH A POSSIBLE DEAD TREE.,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/23/2020,CE20-0573,Enforcement Case,"4740 BADGER RD, SANTA ROSA CA 95409",DEAD TREES,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/23/2020,CE20-0572,Enforcement Case,"4980 BADGER RD, SANTA ROSA CA 95409",OVERGROWN/DEAD HEDGES.,ZRM - RESIDENTIAL MISCELLANEOUS,In Progress,
7/23/2020,CE20-0571,Enforcement Case,"890 TRANQUILO CALLE, SANTA ROSA CA 95409",OVERGROWN WEEDS/VEGETATION ENCROACHING INTO SIDEWALK AND DAMAGED STORED VEHICLE.,ZRM - RESIDENTIAL MISCELLANEOUS; ZRVS - RESIDENTIAL VEHICULAR,Closed,
7/23/2020,CE20-0570,Enforcement Case,"1822 MONTGOMERY DR, SANTA ROSA CA 95405",CANNABIS GROW IN ACCESSORY STRUCTURE (SHED) IN REAR YARD.,CRR - CANNABIS RELATED RESPONSE,In Progress,
7/22/2020,CE20-0569,Enforcement Case,"801 SILVA AVE, SANTA ROSA CA 95404",LIVE MUSIC DRIVE-WAY CONCERT EVENTS DRAWING 50 + PEOPLE.,ZRHO - HOME OCCUPATION,Closed,
7/22/2020,CE20-0568,Enforcement Case,"1142 TERRY LN, 17, SANTA ROSA CA 95403",DOOR KNOB BROKEN MANAGEMENT WAS NOTIFED IN FEBRUARY BUT NOTHING DONE.,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/22/2020,CE20-0567,Enforcement Case,"2585 KENTON CT, SANTA ROSA CA 95407",GRAFFITI ON EXTERIOR FENCE,GRAF - GRAFFITI,Closed,
7/22/2020,CE20-0566,Enforcement Case,"213 CALISTOGA RD, SANTA ROSA CA 95409",POSSIBLE ROTTED OAK TREE WITH LARGE BRANCHES FALLING.,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/22/2020,CE20-0565,Enforcement Case,"3035 CLEVELAND AVE, SANTA ROSA CA 95403",DEAD TREE IN PARKING LOT AGAINST THE FENCE BETWEEN APT. J7 & J8.UPDATE 07/27/2020: 4 DEAD TREES WEST SIDE OF PROPERTY BORDER TO EAST DEL NIDO PROPERTY.,ZCM - COMMERCIAL MISCELLANEOUS,Closed,
7/22/2020,CE20-0564,Enforcement Case,"3131 HOEN AVE, SANTA ROSA CA 95405",NOISY ROOSTER,ZRA - RESIDENTIAL ANIMAL VIOLATION,Closed,
7/22/2020,CE20-0563,Enforcement Case,"2375 MORNINGSIDE CIR, SANTA ROSA CA 95405",7/22/2020 STOP WORK ORDER ISSUED - SIDING REPLACEMENT WITHOUT BENEFIT OF PERMITS.,SWO - STOP WORK ORDER; BRNP - BUILDING RESIDENTIAL - NO PERMIT,Closed,
7/22/2020,CE20-0562,Enforcement Case,"3129 HOEN AVE, SANTA ROSA CA 95405",NOISY ROOSTER,ZRA - RESIDENTIAL ANIMAL VIOLATION,Closed,
7/22/2020,CE20-0561,Enforcement Case,"228 EZRA AVE, SANTA ROSA CA 95401",TRUCK COVERED WITH A TARP PARKED ON PROPERTY LINE FOR MONTHS.,ZRVS - RESIDENTIAL VEHICULAR,In Progress,
7/22/2020,CE20-0560,Enforcement Case,"2428 VALLEY WEST DR, SANTA ROSA CA 95401",WEEDS 4 FOOT PLUS AT THIS PROPERTY FOR MONTHS.,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/22/2020,CE20-0559,Enforcement Case,"1737 LAS PRAVADAS CT, SANTA ROSA CA 95409",OVERGROWN VEGETATION BLOCKING THE BACK EXIT OF HOME.,ZRM - RESIDENTIAL MISCELLANEOUS,In Progress,
7/22/2020,CE20-0558,Enforcement Case,"1690 CLOVER DR, SANTA ROSA CA 95401",WEEDS (weed abatement compliance complaint form received from Fire).,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/22/2020,CE20-0557,Enforcement Case,"1672 CLOVER DR, SANTA ROSA CA 95401",WEEDS (weed abatement compliance complaint form received from Fire).,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/22/2020,CE20-0556,Enforcement Case,"1648 CLOVER DR, SANTA ROSA CA 95401",WEEDS (2 weed abatement compliance complaint form received from Fire).,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/22/2020,CE20-0555,Enforcement Case,"442 8TH ST, SANTA ROSA CA 95401",ILLEGAL RESIDENTIAL UNIT REFERRED TO AS THE PENTHOUSE OR UNIT 18.,HRIL - ILLEGAL RESIDENTIAL UNIT,Investigate,
7/22/2020,CE20-0554,Enforcement Case,"534 HUMBOLDT ST, 3, SANTA ROSA CA 95404",CEILING AND FLOOR ARE CAVING IN.,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/22/2020,CE20-0553,Enforcement Case,"1509 WADSWORTH CT, SANTA ROSA CA 95403",CANNABIS GROW POSSIBLY 12 OR MORE PLANTS.,CRR - CANNABIS REALTED RESPONSE,Closed,
7/21/2020,CE20-0552,Enforcement Case,"4615 THOMAS LAKE HARRIS DR, SANTA ROSA CA 95403",Garage doors keyhole not installed to building code/requirements.,ZRM - Residential Miscellaneous,Closed,
7/21/2020,CE20-0551,Enforcement Case,"801 TUPPER ST, 1211, SANTA ROSA CA 95404",Smoking in residence and on porch of apartment.,ZRM - Residential Miscellaneous,Closed,
7/21/2020,CE20-0550,Enforcement Case,"801 TUPPER ST, 1303, SANTA ROSA CA 95404",Smoking in residence and on porch of apartment.,ZRM - Residential Miscellaneous,Closed,
7/21/2020,CE20-0549,Enforcement Case,"2142 CHIANTI DR, SANTA ROSA CA 95403",Garage conversion without proper permits.,GC - Garage Conversion,Investigate,
7/21/2020,CE20-0548,Enforcement Case,"1300 DE TURK AVE, SANTA ROSA CA 95404",Several granny units and RVs/Trailers on the property being rented as living spaces (See notes and pictures in closed case CE19-0665).,ZRM - Residential Miscellaneous,Closed,
7/21/2020,CE20-0547,Enforcement Case,"0 S WRIGHT RD, SANTA ROSA CA 95407",Illegal disposal of concrete slabs onto a parcel with endangered California Tiger Salamander.,ZRTD - Residential Trash and Debris,Closed,
7/21/2020,CE20-0546,Enforcement Case,"2168 HUMBOLDT ST, SANTA ROSA CA 95404",Cannabis grow operation in detached garage by owner/landlord.,CRR - Cannabis Related Response,Closed,
7/21/2020,CE20-0545,Enforcement Case,"721 MENDOCINO AVE, SANTA ROSA CA 95401",Cannabis grow in shared backyard with kids and someone on probation.,CRR - Cannabis Related Response,In Progress,
7/21/2020,CE20-0544,Enforcement Case,"815 ELLIOTT AVE, SANTA ROSA CA 95401",Illegal backyard cannabis grow (at least 8-10 plants).,CRR - Cannabis Related Response,Closed,
7/20/2020,CE20-0543,Enforcement Case,"2219 NEWGATE CT, SANTA ROSA CA 95404",abandoned UNMAINTAINED POOL,ZRM - RESIDENTIAL MISCELLANEOUS,In Progress,
7/20/2020,CE20-0542,Enforcement Case,"2345 SUNDANCE ST, SANTA ROSA CA 95403",LARGE SCALE CANNABIS CULTIVATION,CRR - CANNABIS RELATED RESPONSE,Closed,
7/20/2020,CE20-0541,Enforcement Case,"1647 WEST AVE, SANTA ROSA CA 95407",WILLOW TREE BRANCHES IN VISION TRIANGLE,ZRA - RESIDENTIAL ANIMAL VIOLATION,Closed,
7/20/2020,CE20-0540,Enforcement Case,"1920 MARSH RD, SANTA ROSA CA 95403",FENCE BEING CONSTRUCTED PAST PROPERTY LINE INTO CULVERT. VISION TRIANGLE,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/15/2020,CE20-0539,Enforcement Case,"590 LEWIS RD, SANTA ROSA CA 95404",LA PALAPA RESTAURANT USING LEAFBLOWER BEFORE ALLOWED TIME,ZCM - COMMERCIAL MISCELLANEOUS,Closed,
7/15/2020,CE20-0538,Enforcement Case,"655 DOYLE PARK DR, SANTA ROSA CA 95405","GARAGE CONVERSION. SUBSTANDARD CONDITIONS, RODENT INFESTATION AND WEEDS.UPDATE 9/29/2020: ROOSTER.",GC - GARAGE CONVERSION,In Progress,
7/15/2020,CE20-0537,Enforcement Case,"603 EL DORADO CT, SANTA ROSA CA 95404",GARBAGE AND COUCH IN DRIVEWAY,ZRTD - RESIDENTIAL TRASH AND DEBRIS,Closed,
7/15/2020,CE20-0536,Enforcement Case,"2986 DUTTON MEADOW, SANTA ROSA CA 95407","ROOSTER, NO CHICKEN COOP",ZRA - RESIDENTIAL ANIMAL VIOLATION,Closed,
7/15/2020,CE20-0535,Enforcement Case,"1648 CLOVER DR, SANTA ROSA CA 95401",WEEDS,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/15/2020,CE20-0534,Enforcement Case,"2345 MORNINGSIDE CIR, SANTA ROSA CA 95405","DEMO, REPAIR OF DRY ROT AND REPLACING WINDOWS WITHOUT PERMIT.",BRNP - BUILDING RESIDENTIAL NO PERMITS,In Progress,
7/15/2020,CE20-0533,Enforcement Case,"6568 BRIDGEWOOD DR, SANTA ROSA CA 95409",INSTALLATION OF LIGHTS AT REAR OF HOME SHINING INTO NEIGHBORS HOUSE,ZRM - RESIDENTIAL MISCELLANEOUS,Investigate,
7/15/2020,CE20-0532,Enforcement Case,"1618 RONNE DR, SANTA ROSA CA 95404",UNPERMITTED 340 SQUARE FOOT STUDIO,BRNP - BUILDING RESIDENTIAL NO PERMITS,In Progress,
7/15/2020,CE20-0531,Enforcement Case,"606 TROWBRIDGE ST, SANTA ROSA CA 95401",Concrete block fence built in setback to curb with electrical on the corner. K. Aboudara issued stop work notice.,Stop Work Notice,Closed,
7/14/2020,CE20-0530,Enforcement Case,"1363 SAN MIGUEL RD, SANTA ROSA CA 95403",WEEDS,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
7/13/2020,CE20-0529,Enforcement Case,"5682 RATERS DR, SANTA ROSA CA 95409","Property has done interior remodel without permits, built rooms used for habitable space.",BRNP - Building Residential - No Permit,Investigate,
7/9/2020,CE20-0528,Enforcement Case,"2249 WOLFBERRY WAY, SANTA ROSA CA 95404",Graffiti on the mailboxes and broken glass.,GRAF - Graffiti,Closed,
7/9/2020,CE20-0527,Enforcement Case,"200 W 6TH ST, SANTA ROSA CA 95401",Cannabis Related Response,CNN - Cannabis Related Response,Closed,
7/9/2020,CE20-0526,Enforcement Case,"2037 ZINFANDEL AVE, SANTA ROSA CA 95403",Vehicle into building.,ECO - Emergency Call Out,Closed,
7/9/2020,CE20-0525,Enforcement Case,"2783 ROYAL OAK PL, SANTA ROSA CA 95403",Structure fire.,ECO - Emergency Call Out,Investigate,
7/8/2020,CE20-0524,Enforcement Case,"1711 HEARN AVE, SANTA ROSA CA 95407",Overgrown vegetation blocking the driver's line of sight.,ZRM - Residential Miscellaneous,Closed,
7/8/2020,CE20-0523,Enforcement Case,"2750 COFFEY LN, SANTA ROSA CA 95403",Shrub/bush southside of driveway is intruding on sidewalk.,ZRM- Residential Miscellaneous,Closed,
7/8/2020,CE20-0522,Enforcement Case,"1358 STROVEN LN, SANTA ROSA CA 95407",Five (5) dogs viewed on this property by animal services officer.,ZRA - Residential Animal Violation,Closed,
7/8/2020,CE20-0521,Enforcement Case,"2457 GUERNEVILLE RD, SANTA ROSA CA 95403",Weeds/vegetation.,ZRM - Residentail Miscellaneous,Closed,
7/8/2020,CE20-0520,Enforcement Case,"2453 GUERNEVILLE RD, SANTA ROSA CA 95403",Weeds/vegetation.,ZRM - Residential Miscellaneous,Closed,
7/8/2020,CE20-0519,Enforcement Case,"247 W 6TH ST, SANTA ROSA CA 95401",Piles of trash and debris left on property.,ZRTD - Residential Trash and Debris,Closed,
7/8/2020,CE20-0518,Enforcement Case,"200 W 6TH ST, SANTA ROSA CA 95401",Piles of trash and debris left on property and possible cannabis grow.UPDATE 2-3-2021  THIS PROPERTY HAS A CANNABIS GROW IN THE INTERIOR,ZRTD - Residential Trash and Debris; CRR - Cannabis Related Response,Closed,
7/8/2020,CE20-0517,Enforcement Case,"4929 HEATHERGLEN CIR, SANTA ROSA CA 95405",Accessory structure being built in the front yard of this house.,ZRM - Residential Miscellaneous,Closed,
7/8/2020,CE20-0516,Enforcement Case,"1905 SEBASTOPOL RD, SANTA ROSA CA 95407",Commercial structure turned into a habitable space with possible prostitution during the evening hours.,ZCM - Commercial Miscellaneous,Closed,
7/8/2020,CE20-0515,Enforcement Case,"3632 SACRAMENTO AVE, SANTA ROSA CA 95405",Manufacturing furniture mainly in the evening.,ZRHO - Home Occupation,In Progress,
7/8/2020,CE20-0514,Enforcement Case,"1223 DE TURK AVE, SANTA ROSA CA 95404",Junk and debris construction material obstructing sidewalk.UPDATE 11/6/2020 - Received another investigation form.,ZRTD - Residential Trash and Debris,Closed,
7/8/2020,CE20-0513,Enforcement Case,"1903 MIDWAY DR, SANTA ROSA CA 95405",SWO issued - structure over 120 sq ft built w/o permit. Conditional Use permit requires,BRNP - Building Residential - No Permit,Investigate,
7/7/2020,CE20-0512,Enforcement Case,"1604 ELMENDORF PL, SANTA ROSA CA 95401","SWO issued 7/7/2020: Kitchen remodel without benefit of permit, building, plumbing, electrical and mechanical all required.",BRNP - Building Residential - No Permit,Closed,
7/7/2020,CE20-0511,Enforcement Case,"335 HARVEST LN, SANTA ROSA CA 95401",Illegal cannabis grow house.,CRR - Cannabis Realted Response,Closed,
7/7/2020,CE20-0510,Enforcement Case,"0 FULTON RD, SANTA ROSA CA 95403",High vegetation.,ZRM - Residential Miscellaneous,Closed,
7/7/2020,CE20-0509,Enforcement Case,"691 CONNIE ST, SANTA ROSA CA 95407",Building a tall fence without a permit.,BRNP - Building Residential - No Permit,Closed,
7/7/2020,CE20-0508,Enforcement Case,"1370 TOWNVIEW AVE, 305, SANTA ROSA CA 95405",Cockroaches in apartment and elevator.,HRS - Substandard Housing,Investigate,
7/1/2020,CE20-0507,Enforcement Case,"497 UMLAND DR, SANTA ROSA CA 95401",Cannabis cultivation and trimming.,CRR - Cannabis Related Response,In Progress,
7/1/2020,CE20-0506,Enforcement Case,"3482 IDAHO DR, SANTA ROSA CA 95405",Dumping/storing/discarding items by leaving them on the sidewalk and/or curb (blocking the public right of way) in front of their home.,ZRM - Residential Miscellaneous,Closed,
7/1/2020,CE20-0505,Enforcement Case,"5659 RATERS DR, SANTA ROSA CA 95409",Accessory structure built 5-6 feet above fence line within the rear yard setbacks.,ZRM - Residential Miscellaneous,Closed,
7/1/2020,CE20-0504,Enforcement Case,"5878 MOUNTAIN HAWK, SANTA ROSA CA 95409",Massive expansion of a deck attached to their home.,BRNP - Building Residential - No Permit,In Progress,
7/1/2020,CE20-0503,Enforcement Case,"1903 JANERO DR, SANTA ROSA CA 95407",Neighbors have live massive pigs in their back yard causing a huge fly infestation.,ZRA - Residential Animal Violation,Closed,
